code,Name,News_size,Market_cap,Shares_outstanding,P,N,None,Negtive,Slightly Negtive,Neutral,Slightly Positive,Positive
9914,MIC,138,"86,406.09","298,983,800",83,46,1147,112,17,1,2,6
5371,Coretronic,138,"22,442.32","390,981,110",88,43,1145,119,14,,2,3
6443,TSEC,137,"14,845.01","445,796,730",86,36,1154,124,3,,3,7
3059,Altek,136,"10,502.21","279,314,525",53,79,1144,122,10,,,4
2458,ELAN,136,"50,747.96","303,880,392",91,31,1154,116,6,,4,10
2823,CHINA LIFE,136,"142,698.94","4,731,397,242",106,29,1141,76,35,3,11,11
3189,KINSUS,135,"110,005.94","450,844,060",74,53,1149,117,7,,7,4
8039,TAIFLEX,134,"9,964.52","209,119,692",79,38,1159,127,5,,1,1
2729,TTFB,133,"5,362.97","23,266,680",102,12,1162,64,21,1,20,27
5608,S. W.,133,"13,434.09","279,267,090",47,80,1149,96,21,2,9,5
6213,ITEQ,132,"49,209.97","382,957,218",78,27,1171,127,2,,1,2
9940,Sinyi,132,"24,536.97","736,846,500",96,25,1155,73,13,,14,32
2903,FEDS,131,"31,314.37","1,416,940,589",102,17,1157,70,33,4,13,11
6230,NCCI,130,"14,419.28","86,343,396",96,17,1163,110,7,,2,11
6669,Wiwynn,129,"155,432.76","174,840,791",79,32,770,116,5,1,1,6
2614,EMIC,129,"16,794.16","528,950,395",100,18,1158,56,23,2,19,29
5274,ASPEED,129,"95,213.31","34,373,037",83,35,1158,119,3,,2,5
4133,Abnova,128,"2,222.30","60,553,594",38,86,1152,109,14,1,2,2
5609,DIMERCO,128,"11,716.49","136,080,000",88,25,1163,51,41,4,17,15
2355,CHIN-POON,128,"11,885.10","397,495,420",53,34,1189,111,15,,,2
2723,Gourmet,128,"23,580","180,000,000",75,30,1171,102,11,3,8,4
6446,PEC,127,"25,619.38","263,539,341",77,41,1158,104,15,,2,6
2732,La Kaffa,127,"4,421.71","43,470,127",98,11,1167,51,30,5,16,25
4721,MECHEMA,127,"12,785.16","74,986,304",63,57,1156,93,17,1,10,6
3443,GUC,126,"80,138.58","134,011,911",82,34,1160,118,5,,2,1
9919,KNH,126,"4,307.73","195,362,750",43,77,1156,103,18,,1,4
3665,BHI (BizLink),126,"34,277.63","133,690,112",79,29,1168,107,12,,2,5
6191,GBM,125,"16,766.61","474,303,000",50,63,1163,117,5,,1,2
2455,VPEC,124,"25,979.15","184,905,918",67,40,1169,109,5,,5,5
2014,CHUNG HUNG,124,"50,387.59","1,435,544,446",73,44,1159,103,9,4,6,2
1268,Hi-Lai Foods,123,"4,545.71","37,723,730",90,18,1167,63,27,1,11,21
6492,SH,122,"11,262.82","89,743,620",62,55,1158,103,13,,1,5
8046,N.P.C,122,"316,943.93","646,165,487",61,56,1159,103,11,,3,5
3376,SZS,122,"19,190.75","192,485,346",62,56,1158,99,17,,5,1
8215,BMC,122,"12,618.52","320,674,514",62,48,1166,99,6,1,6,10
4960,CMMT,121,"7,981.66","670,728,500",57,50,1169,108,3,,4,6
1702,NAMCHOW,121,"14,235.99","294,132,962",76,37,1163,103,6,4,2,6
2472,LELON,119,"10,248.15","160,378,036",29,89,1158,98,17,,2,2
