code,Name,News_size,Market_cap,Shares_outstanding,Positive,Negitive,None
3665,BHI (BizLink),126,"34,277.634","133,690,112",79,29,1168
6191,GBM,125,"16,766.61105","474,303,000",50,63,1163
2455,VPEC,124,"25,979.1525","184,905,918",67,40,1169
2014,CHUNG HUNG,124,"50,387.5944","1,435,544,446",73,44,1159
1268,Hi-Lai Foods,123,"4,545.709465","37,723,730",90,18,1167
6492,SH,122,"11,262.82431","89,743,620",62,55,1158
8046,N.P.C,122,"316,943.9325","646,165,487",61,56,1159
3376,SZS,122,"19,190.7545","192,485,346",62,56,1158
8215,BMC,122,"12,618.5219","320,674,514",62,48,1166
4960,CMMT,121,"7,981.6632","670,728,500",57,50,1169
1702,NAMCHOW,121,"14,235.9888","294,132,962",76,37,1163
2472,LELON,119,"10,248.1542","160,378,036",29,89,1158
2436,Weltrend,119,"14,436.5299","178,009,961",56,54,1166
6111,SOFTSTAR,118,"4,256.589226","63,064,318",55,49,1172
2748,FDC,117,"3,189.1145","75,482,550",89,16,1170
4551,GLOBAL PMX,117,"20,279.072","115,222,498",79,25,1171
5269,Asmedia,114,"112,482.5","69,220,641",65,39,1172
1309,TTC,113,"13,101.4284","378,654,141",44,66,1166
2316,WUS,113,"5,189.816","182,740,536",47,59,1170
9910,FT,113,"190,443.096","881,681,099",84,22,1170
2845,FEIB,112,"36,720.91335","3,513,963,236",67,44,1165
6150,Tul,112,"6,732.24435","44,881,629",63,43,1170
8043,3H,111,"2,125.530722","79,907,170",44,67,1165
2393,EVERLIGHT,111,"21,947.9535","443,393,086",64,34,1178
2637,WISDOM,110,"48,740.5077","746,409,199",68,30,1178
3293,IGS,109,"50,301.57846","70,450,390",78,16,1182
4174,OBI,109,"21,223.253331","199,279,374",52,43,1181
3090,NDB,108,"9,004.3128","178,657,150",30,77,1169
3680,Gudeng,108,"20,350.523424","84,092,233",77,20,1179
5264,-,108,-,-,0,0,0
1815,FFG,107,"7,498.0227","418,451,404",62,25,1189
2013,CSSC,107,"11,100","200,000,000",37,58,1181
6196,MIC,106,"21,824.877","187,388,200",68,23,1185
6533,ANDES,106,"25,527.6","50,650,911",56,42,1177
6239,PTI,106,"75,888.8204","779,146,634",70,29,1177
1102,ACC,106,"152,660.3251","3,446,057,251",67,30,1179
6005,CSC,105,"32,889.2562","2,170,908,097",65,35,1176
3698,-,105,-,-,0,0,0
3017,AVC,105,"29,289.399","353,310,157",58,39,1179
6552,JMC,104,"4,863.8","83,000,000",54,49,1172
6416,CASWELL,104,"6,747.9336","73,188,875",65,28,1183
2208,CSBC,103,"20,309.7738","931,641,842",78,15,1183
6182,WAFER WORK,103,"34,725.679591","540,898,436",62,33,1181
3413,Fiti,102,"17,933.014","87,800,826",70,20,1186
6462,EGIS,101,"9,377.787405","70,775,754",71,21,1184
3023,SINBON,101,"53,661.76","233,312,928",78,13,1185
3691,GIGASOLAR,100,"15,366.39255","75,883,420",58,32,1186
6176,ROEC,99,"45,247.1271","465,027,263",53,33,1190
2606,U-MING,99,"44,449.893","845,055,712",63,23,1190
4968,Richwave,99,"25,478.784","88,468,906",70,25,1181
9904,PCC,99,"100,485.4367","2,946,787,213",58,34,1184
2855,PSC,98,"32,974.57215","1,455,831,343",53,38,1185
6415,Silergy,98,"428,610.14","93,849,425",56,33,1187
6274,TUC,98,"25,663.80563","268,102,449",54,21,1201
